Block Name,Point ID,_0,_1,_2,_Magnitude,CS_0,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,CS_7,CS_8,CS_Magnitude,eigS1_CS,eigS2_CS,eigS3_CS,FS_0,FS_1,FS_2,FS_3,FS_4,FS_5,FS_6,FS_7,FS_8,FS_Magnitude,gradp_0,gradp_1,gradp_2,gradp_Magnitude,KF,nS,p,P_S_0,P_S_1,P_S_2,P_S_3,P_S_4,P_S_5,P_S_6,P_S_7,P_S_8,P_S_Magnitude,S_S_0,S_S_1,S_S_2,S_S_3,S_S_4,S_S_5,S_S_6,S_S_7,S_S_8,S_S_Magnitude,T_S_0,T_S_1,T_S_2,T_S_3,T_S_4,T_S_5,T_S_6,T_S_7,T_S_8,T_S_Magnitude,uS_0,uS_1,uS_2,uS_Magnitude,vF_0,vF_1,vF_2,vF_Magnitude,wFR_0,wFR_1,wFR_2,wFR_Magnitude
unnamed_block_0,83,8.33333,41.6667,0,42.4918,1,0,-6.96E-11,0,1,-1.56E-11,-6.96E-11,-1.56E-11,1,1.73205,1.00008,0.999918,1,1,0,-6.96E-11,0,1,-1.56E-11,0,0,1,1.73205,0,0,0,0,0,0.04,0,-2.29E-06,6.95E-17,-1.79E-06,6.95E-17,-2.29E-06,-4.01E-07,-1.79E-06,-4.01E-07,-2.22E-06,4.71E-06,-2.29E-06,4.16E-17,-1.79E-06,4.16E-17,-2.29E-06,-4.01E-07,-1.79E-06,-4.01E-07,-2.22E-06,4.71E-06,-2.29E-06,9.75E-17,-1.79E-06,9.75E-17,-2.29E-06,-4.01E-07,-1.79E-06,-4.01E-07,-2.22E-06,4.71E-06,0,0,0,0,0,0,0,0,0,0,0,0
unnamed_block_0,84,0,41.6667,8.33333,42.4918,1,-2.01E-15,-3.92E-12,-2.01E-15,1,-1.36E-11,-3.92E-12,-1.36E-11,1,1.73205,1.00008,0.999918,1,1,-8.93E-14,-6.69E-11,8.73E-14,1,-1.28E-11,6.30E-11,-8.03E-13,1,1.73205,0,0,0,0,0,0.04,0,-1.18E-08,-5.18E-11,-1.01E-07,-5.18E-11,-1.98E-06,-3.50E-07,-1.01E-07,-3.50E-07,-1.88E-06,2.78E-06,-1.18E-08,-5.18E-11,-1.01E-07,-5.18E-11,-1.98E-06,-3.50E-07,-1.01E-07,-3.50E-07,-1.88E-06,2.78E-06,-1.18E-08,-5.18E-11,-1.01E-07,-5.18E-11,-1.98E-06,-3.50E-07,-1.01E-07,-3.50E-07,-1.88E-06,2.78E-06,-8.56E-10,-1.19E-10,-3.15E-10,9.20E-10,0,0,0,0,0,0,0,0
unnamed_block_0,85,8.33333,41.6667,8.33333,43.3013,1,-2.83E-14,-4.80E-11,-2.83E-14,1,-1.35E-11,-4.80E-11,-1.35E-11,1,1.73205,1.00008,0.999918,1,1,-6.48E-14,-5.94E-11,3.64E-14,1,-1.27E-11,1.14E-11,-7.60E-13,1,1.73205,0,0,0,0,0,0.04,0,-9.17E-07,-7.29E-10,-1.24E-06,-7.29E-10,-2.00E-06,-3.47E-07,-1.24E-06,-3.47E-07,-2.51E-06,3.80E-06,-9.17E-07,-7.29E-10,-1.24E-06,-7.29E-10,-2.00E-06,-3.47E-07,-1.24E-06,-3.47E-07,-2.51E-06,3.80E-06,-9.17E-07,-7.29E-10,-1.24E-06,-7.29E-10,-2.00E-06,-3.47E-07,-1.24E-06,-3.47E-07,-2.51E-06,3.80E-06,-5.42E-10,-1.18E-10,-1.16E-13,5.55E-10,0,0,0,0,0,0,0,0
unnamed_block_0,86,0,33.3333,16.6667,37.2678,1,-4.76E-15,3.77E-13,-4.76E-15,1,-1.14E-11,3.77E-13,-1.14E-11,1,1.73205,1.00008,0.999918,1,1,-2.10E-13,-2.93E-11,2.06E-13,1,-1.06E-11,2.96E-11,-8.33E-13,1,1.73205,0,0,0,0,0,0.04,0,3.77E-08,-1.23E-10,9.69E-09,-1.23E-10,-1.56E-06,-2.94E-07,9.69E-09,-2.94E-07,-1.17E-06,1.99E-06,3.77E-08,-1.23E-10,9.69E-09,-1.23E-10,-1.56E-06,-2.94E-07,9.69E-09,-2.94E-07,-1.17E-06,1.99E-06,3.77E-08,-1.23E-10,9.69E-09,-1.23E-10,-1.56E-06,-2.94E-07,9.69E-09,-2.94E-07,-1.17E-06,1.99E-06,-1.25E-09,-2.95E-10,-1.83E-10,1.30E-09,0,0,0,0,0,0,0,0
unnamed_block_0,87,8.33333,33.3333,16.6667,38.1881,1,-9.35E-14,-1.69E-11,-9.35E-14,1,-1.13E-11,-1.69E-11,-1.13E-11,1,1.73205,1.00008,0.999918,1,1,-1.57E-13,-2.79E-11,6.34E-14,1,-1.06E-11,1.10E-11,-7.94E-13,1,1.73205,0,0,0,0,0,0.04,0,-2.87E-07,-2.41E-09,-4.34E-07,-2.41E-09,-1.58E-06,-2.92E-07,-4.34E-07,-2.92E-07,-2.24E-06,2.85E-06,-2.87E-07,-2.41E-09,-4.34E-07,-2.41E-09,-1.58E-06,-2.92E-07,-4.34E-07,-2.92E-07,-2.24E-06,2.85E-06,-2.87E-07,-2.41E-09,-4.34E-07,-2.41E-09,-1.58E-06,-2.92E-07,-4.34E-07,-2.92E-07,-2.24E-06,2.85E-06,-9.03E-10,-2.94E-10,-9.74E-12,9.50E-10,0,0,0,0,0,0,0,0
unnamed_block_0,88,0,25,25,35.3553,1,-1.28E-14,-2.73E-13,-1.28E-14,1,1.19E-13,-2.73E-13,1.19E-13,1,1.73205,1.00008,0.999918,1,1,-3.24E-13,-2.73E-13,3.11E-13,1,1.19E-13,-1.69E-25,-1.04E-25,1,1.73205,0,0,0,0,0,0.04,0,3.14E-08,-3.30E-10,-7.04E-09,-3.30E-10,-1.09E-06,3.07E-09,-7.04E-09,3.07E-09,-1.08E-06,1.54E-06,3.14E-08,-3.30E-10,-7.04E-09,-3.30E-10,-1.09E-06,3.07E-09,-7.04E-09,3.07E-09,-1.08E-06,1.54E-06,3.14E-08,-3.30E-10,-7.04E-09,-3.30E-10,-1.09E-06,3.07E-09,-7.04E-09,3.07E-09,-1.08E-06,1.54E-06,-1.37E-09,-4.96E-10,1.44E-24,1.46E-09,0,0,0,0,0,0,0,0
unnamed_block_0,89,8.33333,25,25,36.3242,1,-1.71E-13,-1.25E-13,-1.71E-13,1,1.19E-13,-1.25E-13,1.19E-13,1,1.73205,1.00008,0.999918,1,1,-2.29E-13,-1.25E-13,5.88E-14,1,1.19E-13,5.90E-27,-2.18E-26,1,1.73205,0,0,0,0,0,0.04,0,-1.76E-07,-4.39E-09,-3.22E-09,-4.39E-09,-1.11E-06,3.05E-09,-3.22E-09,3.05E-09,-2.18E-06,2.45E-06,-1.76E-07,-4.39E-09,-3.22E-09,-4.39E-09,-1.11E-06,3.05E-09,-3.22E-09,3.05E-09,-2.18E-06,2.45E-06,-1.76E-07,-4.39E-09,-3.22E-09,-4.39E-09,-1.11E-06,3.05E-09,-3.22E-09,3.05E-09,-2.18E-06,2.45E-06,-1.02E-09,-4.94E-10,9.31E-25,1.13E-09,0,0,0,0,0,0,0,0
unnamed_block_0,90,0,16.6667,33.3333,37.2678,1,-2.53E-14,-1.32E-12,-2.53E-14,1,2.06E-11,-1.32E-12,2.06E-11,1,1.73205,1.00008,0.999918,1,1,-3.39E-13,2.81E-11,3.14E-13,1,2.24E-11,-2.95E-11,-1.77E-12,1,1.73205,0,0,0,0,0,0.04,0,3.85E-08,-6.51E-10,-3.41E-08,-6.51E-10,-8.10E-07,5.31E-07,-3.41E-08,5.31E-07,-1.11E-06,1.57E-06,3.85E-08,-6.51E-10,-3.41E-08,-6.51E-10,-8.10E-07,5.31E-07,-3.41E-08,5.31E-07,-1.11E-06,1.57E-06,3.85E-08,-6.51E-10,-3.41E-08,-6.51E-10,-8.10E-07,5.31E-07,-3.41E-08,5.31E-07,-1.11E-06,1.57E-06,-1.25E-09,-6.25E-10,1.81E-10,1.41E-09,0,0,0,0,0,0,0,0
unnamed_block_0,91,8.33333,16.6667,33.3333,38.1881,1,-2.06E-13,1.64E-11,-2.06E-13,1,2.05E-11,1.64E-11,2.05E-11,1,1.73205,1.00008,0.999918,1,1,-2.08E-13,2.75E-11,2.06E-15,1,2.24E-11,-1.10E-11,-1.83E-12,1,1.73205,0,0,0,0,0,0.04,0,-2.87E-07,-5.31E-09,4.23E-07,-5.31E-09,-8.28E-07,5.28E-07,4.23E-07,5.28E-07,-2.27E-06,2.62E-06,-2.87E-07,-5.31E-09,4.23E-07,-5.31E-09,-8.28E-07,5.28E-07,4.23E-07,5.28E-07,-2.27E-06,2.62E-06,-2.87E-07,-5.31E-09,4.23E-07,-5.31E-09,-8.28E-07,5.28E-07,4.23E-07,5.28E-07,-2.27E-06,2.62E-06,-9.00E-10,-6.24E-10,8.91E-12,1.10E-09,0,0,0,0,0,0,0,0
unnamed_block_0,92,0,0,41.6667,41.6667,1,-4.04E-13,3.86E-12,-4.04E-13,1,3.86E-12,3.86E-12,3.86E-12,1,1.73205,1.00008,0.999918,1,1,-2.02E-13,6.61E-11,-2.02E-13,1,6.61E-11,-6.22E-11,-6.22E-11,1,1.73205,0,0,0,0,0,0.04,0,1.13E-08,-1.04E-08,9.93E-08,-1.04E-08,1.13E-08,9.93E-08,9.93E-08,9.93E-08,7.15E-07,7.42E-07,1.13E-08,-1.04E-08,9.93E-08,-1.04E-08,1.13E-08,9.93E-08,9.93E-08,9.93E-08,7.15E-07,7.42E-07,1.13E-08,-1.04E-08,9.93E-08,-1.04E-08,1.13E-08,9.93E-08,9.93E-08,9.93E-08,7.15E-07,7.42E-07,-8.49E-10,-8.49E-10,6.60E-10,1.37E-09,0,0,0,0,0,0,0,0
